id,status_group,longitude,latitude,label
50785,non functional,35.2907992,-4.05969643,1
51630,functional,36.65670893,-3.30921425,0
17168,functional,34.76786315,-5.00434437,0
45559,non functional,38.05804609,-9.41867222,1
49871,functional,35.00612345,-10.950412,0
52449,functional,36.68527855,-3.30242017,0
24806,non functional,36.39804116,-7.54138236,1
28965,non functional,39.60741997,-10.89378645,1
36301,non functional,39.2629507,-10.82358805,1
54122,functional,37.09610836,-3.25175375,0
419,functional,37.23324768,-3.24112116,0
45750,non functional,37.68639178,-4.55597478,1
653,non functional,33.66107435,-4.16572015,1
14017,non functional,33.00768032,-3.2095291,1
44607,functional,35.61562385,-7.87029042,0
40228,functional,35.48288627,-10.91259619,0
27714,non functional,39.85018977,-7.72794628,1
28785,functional,38.25402354,-4.5658016,0
28330,functional,31.58679783,-3.38780779,0
18532,non functional,39.43852591,-10.58336646,1
69961,functional,39.32230666,-6.85026202,0
55083,non functional,34.94362033,-9.35251465,1
8691,non functional,31.04608844,-5.05419563,1
30331,non functional,34.62104755,-5.16592646,1
70970,functional,33.72235857,-3.04712172,0
61136,functional,34.92959242,-9.15287185,0
28799,non functional,35.42444315,-10.57968552,1
46825,non functional,35.89487669,-6.14752205,1
44718,functional needs repair,0,-2.00E-08,2
37350,functional,36.29176128,-5.24231281,0
65738,functional,35.6124173,-3.35116762,0
3271,non functional,32.86178245,-3.92819891,1
42658,non functional,33.12453405,-4.85766882,1
67523,functional,35.66507527,-3.34770932,0
37034,functional,34.72199105,-8.86253212,0
42432,functional,34.70534261,-9.1394961,0
27420,functional,38.83713732,-4.77558442,0
707,functional needs repair,37.65808091,-3.7238624,2
48489,non functional,37.47632192,-6.28331307,1
51008,non functional,33.32603356,-8.88128573,1
72562,non functional,40.04071287,-10.49203103,1
10275,functional,38.72134804,-5.17252308,0
53540,non functional,33.14491487,-3.71753771,1
43291,non functional,33.33199615,-2.70336413,1
8813,functional,33.13082951,-3.22665421,0
62343,non functional,33.62516779,-8.86101931,1
1649,functional,32.35815302,-4.96546043,0
8822,functional,37.70648416,-4.00583487,0
10352,non functional,33.66386327,-8.98179247,1
50878,functional,33.77857064,-3.06340514,0
15266,functional,33.58724528,-9.16743357,0
51956,functional,38.4236917,-4.6312447,0
44099,non functional,37.12085919,-10.78502855,1
59,non functional,33.59072198,-3.71955244,1
51359,non functional,39.56082776,-9.13206159,1
15962,non functional,0,-2.00E-08,1
17853,functional needs repair,33.06230846,-1.82664599,2
42040,non functional,37.55433946,-3.28942377,1
72243,non functional,35.99024647,-10.53404797,1
63653,non functional,36.61868919,-3.29203785,1
26510,functional,33.77914543,-3.32682925,0
72053,functional,30.50096464,-2.59036242,0
29351,functional,34.25333419,-1.20066603,0
51897,non functional,34.85944848,-4.97090922,1
20376,functional,35.10908924,-8.18809279,0
26804,functional,36.50348726,-8.55105463,0
67303,functional,36.80143513,-3.45135176,0
69780,non functional,37.62786033,-3.13469202,1
45374,functional,0,-2.00E-08,0
54665,non functional,37.22900273,-3.18441406,1
39341,non functional,30.12795597,-4.24867926,1
8869,functional needs repair,37.45782761,-11.20866259,2
20691,functional,33.16618409,-8.942157,0
19693,non functional,35.52646919,-4.48085439,1
14321,non functional,31.9968789,-8.80386259,1
63059,functional,33.51920554,-3.13524663,0
67403,functional,39.05964828,-5.28936932,0
28912,functional,37.22600343,-3.27103862,0
12549,functional,35.56741628,-6.33698054,0
24328,non functional,37.59031748,-3.7304578,1
13750,non functional,32.0400396,-4.99156819,1
1574,functional,38.46742948,-4.8647269,0
44149,functional,31.36783688,-1.06107072,0
53917,functional,31.12892305,-1.69420356,0
22705,functional,36.88065592,-3.31430939,0
66465,functional,32.05069828,-3.41259554,0
15644,functional needs repair,31.83376051,-1.11325712,2
20773,non functional,35.82452906,-5.30269309,1
33092,non functional,36.96288481,-7.59517464,1
54392,functional,37.47908238,-3.81858443,0
37850,functional,38.90647215,-6.74295268,0
5576,non functional,35.77193117,-8.02782346,1
60840,functional,35.87050076,-4.13979616,0
9971,non functional,31.24387308,-6.37911714,1
57508,functional,36.64437721,-6.81836802,0
25872,functional,32.99693009,-4.19322784,0
43978,functional,33.98504961,-8.9881064,0
38181,functional,33.91513217,-9.19113626,0
24325,functional,37.61832784,-6.13357212,0
2724,non functional,31.53064308,-1.52024104,1
34794,non functional,31.14227776,-6.61124387,1
56525,non functional,32.76916953,-3.90293977,1
63155,non functional,31.6075471,-1.76796453,1
67247,functional,37.57594115,-7.08503792,0
23387,functional,38.91481877,-8.78594686,0
17873,functional,32.30554915,-3.50805245,0
18197,functional,34.97643178,-8.82935561,0
24834,functional,30.03071578,-4.43392653,0
4091,functional,38.24442402,-4.4588915,0
33261,functional,33.81466822,-9.26881883,0
44384,functional,35.02234242,-4.18404892,0
62096,non functional,32.94718642,-4.99483567,1
64554,functional,39.08342696,-7.0035038,0
68314,functional,35.56771838,-7.94158325,0
53,non functional,36.67432678,-3.35742512,1
23426,non functional,33.91187132,-9.34663784,1
38259,non functional,31.63874388,-8.11393053,1
16631,non functional,36.00884449,-10.73030401,1
43162,functional,34.85774806,-4.96565066,0
44492,functional needs repair,31.45209393,-1.45098903,2
38884,non functional,33.66932264,-3.66413309,1
13690,functional,37.75333011,-6.91532531,0
60335,functional needs repair,37.47825262,-3.2671678,2
31856,non functional,32.12395834,-4.21150952,1
67891,functional,38.35640398,-6.64287516,0
25564,non functional,34.6675289,-10.44890839,1
55293,functional,34.23757868,-9.38027549,0
31866,functional,37.27313434,-3.28468532,0
71178,functional,32.88527532,-8.98348456,0
60279,functional,34.740896,-9.39969423,0
28615,functional,34.98990302,-10.94025521,0
8744,functional,34.21215284,-9.45018053,0
48308,non functional,32.75733701,-3.94044709,1
49626,non functional,33.86144433,-1.98006878,1
38098,functional,36.89963137,-3.11331959,0
30309,functional needs repair,34.07442773,-2.99369841,2
8015,functional,32.92057868,-2.47456022,0
3496,functional needs repair,37.21538421,-6.51840064,2
56971,functional,38.48246991,-4.6185188,0
68616,functional,0,-2.00E-08,0
8646,functional,35.7588964,-10.5153101,0
74104,functional,35.84163553,-6.77170227,0
37501,non functional,39.24118301,-10.87948265,1
33001,non functional,33.18150167,-4.20028394,1
69202,functional,37.58743816,-3.21965387,0
68409,functional,37.15330819,-3.33484802,0
51847,non functional,36.15989877,-5.56955781,1
55647,functional,32.97098153,-3.73365859,0
17923,non functional,33.09373422,-2.03466061,1
71743,non functional,38.86003518,-6.7832854,1
51539,functional,0,-2.00E-08,0
73819,functional needs repair,35.75457603,-6.33126372,2
66881,non functional,32.93155539,-9.26673527,1
58768,non functional,29.88877545,-5.31079128,1
2648,non functional,31.32170771,-2.66167239,1
68933,functional,34.84589302,-11.32726797,0
12427,functional,30.36036456,-4.86323549,0
16633,non functional,32.72547129,-8.84626582,1
24123,non functional,35.76559605,-8.08149573,1
58551,non functional,35.94820405,-6.14209678,1
17132,functional,38.9532646,-6.81055717,0
3027,non functional,30.86837823,-3.37881268,1
2651,non functional,34.7093461,-5.19063734,1
25998,non functional,39.66918663,-10.8580047,1
63400,functional,36.98730137,-3.25011669,0
50028,non functional,36.0048759,-6.21749098,1
67897,non functional,36.93159083,-3.57466784,1
21425,functional,33.24384162,-2.90287945,0
71756,functional,33.23557581,-3.85032443,0
16862,functional,37.03823817,-3.19868895,0
15420,non functional,35.1018841,-9.19269342,1
47784,functional needs repair,31.81285612,-1.30123857,2
712,functional,38.36849286,-10.93384583,0
54368,non functional,33.37815286,-2.79280896,1
2866,functional,33.54989043,-9.22397853,0
51130,functional,34.17113267,-3.83352987,0
27993,non functional,35.28050862,-5.19786904,1
21621,non functional,30.42759159,-4.27598594,1
66038,functional,38.97155755,-5.38462674,0
42182,functional,38.89095066,-6.51860869,0
17694,non functional,39.98205894,-10.29469648,1
57759,functional,35.87501977,-8.2280007,0
47978,functional,35.38635891,-7.65095641,0
52359,non functional,37.93798894,-4.57972323,1
69656,non functional,35.59280104,-7.80582548,1
24086,non functional,32.94044845,-8.99754687,1
43579,functional,32.92992658,-3.57434542,0
43284,non functional,36.60724575,-3.30207819,1
2877,non functional,36.68018106,-6.87616383,1
21171,functional,30.34717036,-4.8719301,0
40982,functional,38.27094157,-4.6615608,0
48396,functional,36.75927115,-3.38737971,0
13323,functional needs repair,33.64930569,-2.80046063,2
28467,functional,34.73747841,-8.92088215,0
2768,functional,35.09479154,-4.15189715,0
73593,functional,33.25424193,-8.0893355,0
65164,functional,36.33788056,-11.17829173,0
69976,non functional,35.9770565,-10.55154627,1
52145,functional needs repair,38.98738247,-10.50802015,2
49259,functional,36.9805944,-3.2681787,0
23542,functional,35.53901671,-7.91925731,0
69848,functional,37.44412397,-5.82951489,0
9305,functional,35.09343854,-9.56048826,0
14359,non functional,38.52077442,-4.7781112,1
28925,non functional,31.64219084,-1.42713263,1
21243,functional,35.08228569,-10.7961727,0
10616,non functional,38.64244068,-10.2773797,1
73667,non functional,34.44750516,-4.4015942,1
20566,functional,33.88622687,-1.66592514,0
63711,functional,36.84895072,-3.14633698,0
72840,functional,37.74768029,-9.5396571,0
31651,non functional,37.15765414,-6.25308769,1
3782,functional,34.8159747,-11.10710636,0
6799,non functional,33.6796768,-1.69114438,1
21402,functional needs repair,37.65901094,-3.71814886,2
35390,functional,37.47692924,-3.34092018,0
12636,non functional,32.42445785,-3.53829537,1
36887,functional,38.00682598,-4.26044985,0
20086,non functional,38.90354217,-6.83863068,1
5634,functional,32.79870255,-4.20735891,0
48029,functional,34.33720524,-3.15236862,0
29927,non functional,32.38385518,-3.83717122,1
2930,functional,35.38271411,-10.71445129,0
41800,functional,38.06751577,-4.65458656,0
68349,non functional,30.20681538,-4.77966637,1
61678,non functional,32.09890255,-4.93811546,1
30270,functional,34.39176923,-9.28989206,0
4678,functional,37.34831677,-3.35258803,0
9392,non functional,36.42441051,-5.64326973,1
20735,functional,34.99698039,-8.94881081,0
49300,non functional,34.02144841,-1.6122602,1
70339,functional,33.40591772,-2.6087623,0
25572,functional,36.6391006,-3.26222341,0
61445,functional needs repair,34.09730676,-3.72779425,2
32190,functional,37.29373148,-5.70419117,0
39189,functional,34.76182139,-8.85394964,0
14853,functional needs repair,33.16012589,-8.41198798,2
52207,functional,38.9342633,-7.71775824,0
48035,functional,34.74381046,-4.9013165,0
73122,functional,35.83735311,-3.2453781,0
16352,functional,33.33253763,-3.10681969,0
42721,functional,36.13590557,-8.93935015,0
15116,functional,39.52595584,-10.03463494,0
7837,non functional,38.21076217,-4.556957,1
56907,functional,34.65847118,-4.60894564,0
46382,non functional,38.82652126,-5.10215138,1
64521,non functional,31.52400815,-2.64014842,1
67362,functional,0,-2.00E-08,0
61861,functional,31.71033001,-8.02897733,0
72139,non functional,36.63553562,-5.6749452,1
3398,functional,0,-2.00E-08,0
62911,functional,33.59207501,-9.16411665,0
48152,non functional,37.60762508,-3.81343889,1
48001,functional,35.86628741,-8.22694393,0
64118,functional,37.35961168,-2.87103123,0
65793,functional,34.51639956,-9.30555986,0
61557,non functional,35.21904144,-8.54384912,1
32352,functional,0,-2.00E-08,0
1830,functional,38.79259635,-6.61217491,0
50553,functional,33.73073582,-3.59734756,0
51961,functional,33.54958035,-3.58337194,0
38481,non functional,34.35349791,-8.69011635,1
48371,functional,34.48200672,-9.82291149,0
56540,non functional,34.02038314,-8.85431536,1
18142,functional needs repair,31.94442994,-3.29462976,2
72934,non functional,33.48332446,-4.2991058,1
39300,non functional,36.00598277,-5.10433961,1
40115,non functional,38.43058389,-11.34631248,1
3793,functional,31.28052235,-7.36237327,0
59318,functional,31.59052416,-1.84141004,0
68070,non functional,38.33425198,-5.06309118,1
67527,non functional,35.86452198,-6.44461707,1
34898,functional,32.88796933,-9.30004547,0
26592,functional,36.27570732,-6.74464483,0
67682,functional,36.61432969,-3.22875935,0
52394,functional,36.64363634,-3.23903142,0
32218,functional,35.02557402,-4.19355046,0
69045,functional,33.37040039,-3.04993128,0
12808,functional,38.24230099,-6.07582793,0
49250,functional,35.8916617,-5.24612455,0
64126,functional,34.62690973,-8.85412873,0
64903,functional needs repair,36.29494141,-3.3995849,2
35165,functional,36.35135832,-11.19109346,0
9543,non functional,33.71522992,-8.91237603,1
64635,functional,36.69919316,-8.12610972,0
47929,functional,34.73611374,-9.08179847,0
28329,functional,39.82253872,-7.80725034,0
67954,functional needs repair,37.64366629,-3.78707424,2
16575,non functional,38.98767344,-10.24341156,1
16612,functional,31.361951,-8.24561266,0
27003,functional,35.39514057,-4.33586592,0
73324,non functional,36.1306906,-10.46491607,1
7043,non functional,32.74815536,-5.61577244,1
22174,functional,37.54370759,-3.50068748,0
19450,functional needs repair,36.89378331,-7.81882698,2
35825,functional,36.74051982,-7.33636009,0
9854,non functional,35.86705548,-5.17647305,1
23254,functional needs repair,36.95809117,-11.30830648,2
72170,non functional,33.81978224,-4.18438573,1
61999,non functional,39.45899789,-10.68986178,1
70354,non functional,36.10392509,-5.4796794,1
6877,non functional,32.44062347,-3.52218016,1
47323,non functional,34.72724439,-8.86069126,1
48624,non functional,36.01682529,-10.74639136,1
6148,non functional,30.4960233,-3.61906312,1
59698,non functional,38.62055146,-10.95529328,1
67268,functional,32.85008291,-3.30136238,0
59174,non functional,32.5187714,-3.9989305,1
68916,non functional,37.03627966,-7.79884618,1
